iter	Passed	Remaining
0	1	138
1	2	145
2	4	145
3	5	134
4	7	142
5	9	145
6	10	135
7	11	129
8	12	130
9	14	130
10	15	127
11	16	123
12	17	119
13	18	116
14	20	114
15	21	112
16	22	111
17	23	107
18	24	105
19	26	104
20	27	102
21	28	100
22	29	98
23	31	98
24	32	96
25	33	94
26	34	92
27	35	90
28	36	88
29	37	86
30	37	84
31	39	83
32	40	81
33	41	79
34	42	78
35	43	76
36	44	75
37	45	73
38	46	72
39	47	71
40	48	69
41	49	68
42	50	66
43	51	65
44	52	63
45	53	62
46	54	61
47	55	60
48	57	59
49	58	58
50	60	57
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	48
58	68	47
59	69	46
60	70	45
61	72	44
62	73	43
63	74	41
64	75	40
65	76	39
66	77	38
67	78	37
68	79	35
69	80	34
70	82	33
71	83	32
72	84	31
73	85	30
74	86	28
75	88	27
76	89	26
77	90	25
78	91	24
79	92	23
80	93	22
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	100	13
88	101	12
89	103	11
90	104	10
91	105	9
92	106	8
93	107	6
94	109	5
95	110	4
96	110	3
97	112	2
98	115	1
99	117	0
